seq_dataset 214
seq_dataset_val 234
Train epoch 1/200

  3% 32/1000 [00:08<02:34,  6.28it/s, closs=40.984, rloss=91.05846, tloss=496.276]
  3% 32/1000 [00:08<02:34,  6.28it/s, closs=40.614, rloss=90.39809, tloss=492.605]
  3% 33/1000 [00:08<02:33,  6.30it/s, closs=40.614, rloss=90.39809, tloss=492.605]
  3% 33/1000 [00:08<02:33,  6.30it/s, closs=40.442, rloss=90.71513, tloss=494.018]
  3% 34/1000 [00:08<02:31,  6.36it/s, closs=40.442, rloss=90.71513, tloss=494.018]
  3% 34/1000 [00:08<02:31,  6.36it/s, closs=40.179, rloss=90.89938, tloss=494.676]
  4% 35/1000 [00:08<02:33,  6.31it/s, closs=40.179, rloss=90.89938, tloss=494.676]
  4% 35/1000 [00:09<02:33,  6.31it/s, closs=40.168, rloss=92.04640, tloss=500.400]
  4% 36/1000 [00:09<02:33,  6.27it/s, closs=40.168, rloss=92.04640, tloss=500.400]
  4% 36/1000 [00:09<02:33,  6.27it/s, closs=39.933, rloss=91.54701, tloss=497.668]
  4% 37/1000 [00:09<02:34,  6.22it/s, closs=39.933, rloss=91.54701, tloss=497.668]
  4% 37/1000 [00:09<02:34,  6.22it/s, closs=39.436, rloss=90.76641, tloss=493.268]
  4% 38/1000 [00:09<02:34,  6.24it/s, closs=39.436, rloss=90.76641, tloss=493.268]
  4% 38/1000 [00:09<02:34,  6.24it/s, closs=38.869, rloss=89.87050, tloss=488.221]
  4% 39/1000 [00:09<02:34,  6.23it/s, closs=38.869, rloss=89.87050, tloss=488.221]
  4% 39/1000 [00:09<02:34,  6.23it/s, closs=39.304, rloss=89.48946, tloss=486.751]
  4% 40/1000 [00:09<02:31,  6.33it/s, closs=39.304, rloss=89.48946, tloss=486.751]
  4% 40/1000 [00:09<02:31,  6.33it/s, closs=39.461, rloss=89.80727, tloss=488.497]
  4% 41/1000 [00:09<02:30,  6.36it/s, closs=39.461, rloss=89.80727, tloss=488.497]
  4% 41/1000 [00:10<02:30,  6.36it/s, closs=39.446, rloss=89.73227, tloss=488.107]
  4% 42/1000 [00:10<02:29,  6.40it/s, closs=39.446, rloss=89.73227, tloss=488.107]
  4% 42/1000 [00:10<02:29,  6.40it/s, closs=39.779, rloss=89.89434, tloss=489.251]
  4% 43/1000 [00:10<02:28,  6.43it/s, closs=39.779, rloss=89.89434, tloss=489.251]
  4% 43/1000 [00:10<02:28,  6.43it/s, closs=40.244, rloss=89.17174, tloss=486.103]
  4% 44/1000 [00:10<02:30,  6.36it/s, closs=40.244, rloss=89.17174, tloss=486.103]
  4% 44/1000 [00:10<02:30,  6.36it/s, closs=40.025, rloss=88.31275, tloss=481.589]
  4% 45/1000 [00:10<02:29,  6.37it/s, closs=40.025, rloss=88.31275, tloss=481.589]
  4% 45/1000 [00:10<02:29,  6.37it/s, closs=40.646, rloss=88.84010, tloss=484.847]
  5% 46/1000 [00:10<02:30,  6.35it/s, closs=40.646, rloss=88.84010, tloss=484.847]
  5% 46/1000 [00:10<02:30,  6.35it/s, closs=40.697, rloss=89.07893, tloss=486.091]
  5% 47/1000 [00:10<02:28,  6.40it/s, closs=40.697, rloss=89.07893, tloss=486.091]
  5% 47/1000 [00:10<02:28,  6.40it/s, closs=40.801, rloss=89.00076, tloss=485.805]
  5% 48/1000 [00:10<02:30,  6.31it/s, closs=40.801, rloss=89.00076, tloss=485.805]
  5% 48/1000 [00:11<02:30,  6.31it/s, closs=40.626, rloss=88.19351, tloss=481.593]
  5% 49/1000 [00:11<02:29,  6.36it/s, closs=40.626, rloss=88.19351, tloss=481.593]
  5% 49/1000 [00:11<02:29,  6.36it/s, closs=40.971, rloss=88.02401, tloss=481.091]
  5% 50/1000 [00:11<02:30,  6.31it/s, closs=40.971, rloss=88.02401, tloss=481.091]
  5% 50/1000 [00:11<02:30,  6.31it/s, closs=40.628, rloss=87.42987, tloss=477.777]
  5% 51/1000 [00:11<02:30,  6.30it/s, closs=40.628, rloss=87.42987, tloss=477.777]
  5% 51/1000 [00:11<02:30,  6.30it/s, closs=41.028, rloss=87.19352, tloss=476.996]
  5% 52/1000 [00:11<02:28,  6.38it/s, closs=41.028, rloss=87.19352, tloss=476.996]
  5% 52/1000 [00:11<02:28,  6.38it/s, closs=40.742, rloss=86.47433, tloss=473.114]
  5% 53/1000 [00:11<02:29,  6.32it/s, closs=40.742, rloss=86.47433, tloss=473.114]
  5% 53/1000 [00:11<02:29,  6.32it/s, closs=40.744, rloss=86.49203, tloss=473.205]
  5% 54/1000 [00:11<02:30,  6.29it/s, closs=40.744, rloss=86.49203, tloss=473.205]
  5% 54/1000 [00:12<02:30,  6.29it/s, closs=40.516, rloss=86.18177, tloss=471.425]
  6% 55/1000 [00:12<02:28,  6.37it/s, closs=40.516, rloss=86.18177, tloss=471.425]
  6% 55/1000 [00:12<02:28,  6.37it/s, closs=40.613, rloss=86.80604, tloss=474.643]
  6% 56/1000 [00:12<02:28,  6.34it/s, closs=40.613, rloss=86.80604, tloss=474.643]
  6% 56/1000 [00:12<02:28,  6.34it/s, closs=40.492, rloss=86.56600, tloss=473.322]
  6% 57/1000 [00:12<02:28,  6.36it/s, closs=40.492, rloss=86.56600, tloss=473.322]
  6% 57/1000 [00:12<02:28,  6.36it/s, closs=40.167, rloss=86.00541, tloss=470.194]
  6% 58/1000 [00:12<02:27,  6.39it/s, closs=40.167, rloss=86.00541, tloss=470.194]
  6% 58/1000 [00:12<02:27,  6.39it/s, closs=40.279, rloss=85.78624, tloss=469.210]
  6% 59/1000 [00:12<02:26,  6.43it/s, closs=40.279, rloss=85.78624, tloss=469.210]
  6% 59/1000 [00:12<02:26,  6.43it/s, closs=39.996, rloss=85.43056, tloss=467.149]
  6% 60/1000 [00:12<02:29,  6.30it/s, closs=39.996, rloss=85.43056, tloss=467.149]
  6% 60/1000 [00:13<02:29,  6.30it/s, closs=39.742, rloss=85.32573, tloss=466.371]
  6% 61/1000 [00:13<02:36,  6.02it/s, closs=39.742, rloss=85.32573, tloss=466.371]
  6% 61/1000 [00:13<02:36,  6.02it/s, closs=40.275, rloss=85.30326, tloss=466.792]
  6% 62/1000 [00:13<02:41,  5.81it/s, closs=40.275, rloss=85.30326, tloss=466.792]
  6% 62/1000 [00:13<02:41,  5.81it/s, closs=39.977, rloss=84.95301, tloss=464.742]
  6% 63/1000 [00:13<02:40,  5.83it/s, closs=39.977, rloss=84.95301, tloss=464.742]
  6% 63/1000 [00:13<02:40,  5.83it/s, closs=39.858, rloss=84.44638, tloss=462.090]
  6% 64/1000 [00:13<02:39,  5.88it/s, closs=39.858, rloss=84.44638, tloss=462.090]
  6% 64/1000 [00:13<02:39,  5.88it/s, closs=39.738, rloss=83.95692, tloss=459.522]
  6% 65/1000 [00:13<02:37,  5.93it/s, closs=39.738, rloss=83.95692, tloss=459.522]
  6% 65/1000 [00:13<02:37,  5.93it/s, closs=39.457, rloss=83.19167, tloss=455.416]
  7% 66/1000 [00:13<02:33,  6.10it/s, closs=39.457, rloss=83.19167, tloss=455.416]
  7% 66/1000 [00:14<02:33,  6.10it/s, closs=39.373, rloss=82.85758, tloss=453.661]
  7% 67/1000 [00:14<02:33,  6.09it/s, closs=39.373, rloss=82.85758, tloss=453.661]
  7% 67/1000 [00:14<02:33,  6.09it/s, closs=39.114, rloss=82.32200, tloss=450.724]
  7% 68/1000 [00:14<02:33,  6.07it/s, closs=39.114, rloss=82.32200, tloss=450.724]
  7% 68/1000 [00:14<02:33,  6.07it/s, closs=39.009, rloss=82.33905, tloss=450.704]
  7% 69/1000 [00:14<02:29,  6.24it/s, closs=39.009, rloss=82.33905, tloss=450.704]
  7% 69/1000 [00:14<02:29,  6.24it/s, closs=38.845, rloss=81.71717, tloss=447.431]
  7% 70/1000 [00:14<02:26,  6.36it/s, closs=38.845, rloss=81.71717, tloss=447.431]
  7% 70/1000 [00:14<02:26,  6.36it/s, closs=38.607, rloss=81.01075, tloss=443.661]
  7% 71/1000 [00:14<02:26,  6.34it/s, closs=38.607, rloss=81.01075, tloss=443.661]
  7% 71/1000 [00:14<02:26,  6.34it/s, closs=38.522, rloss=80.33093, tloss=440.177]
  7% 72/1000 [00:14<02:26,  6.32it/s, closs=38.522, rloss=80.33093, tloss=440.177]
  7% 72/1000 [00:14<02:26,  6.32it/s, closs=38.379, rloss=79.71565, tloss=436.957]
  7% 73/1000 [00:14<02:24,  6.42it/s, closs=38.379, rloss=79.71565, tloss=436.957]
  7% 73/1000 [00:15<02:24,  6.42it/s, closs=38.191, rloss=78.98605, tloss=433.121]
  7% 74/1000 [00:15<02:23,  6.44it/s, closs=38.191, rloss=78.98605, tloss=433.121]
  7% 74/1000 [00:15<02:23,  6.44it/s, closs=38.016, rloss=78.63101, tloss=431.171]
  8% 75/1000 [00:15<02:26,  6.32it/s, closs=38.016, rloss=78.63101, tloss=431.171]
  8% 75/1000 [00:15<02:26,  6.32it/s, closs=37.836, rloss=78.22391, tloss=428.956]
  8% 76/1000 [00:15<02:27,  6.24it/s, closs=37.836, rloss=78.22391, tloss=428.956]
  8% 76/1000 [00:15<02:27,  6.24it/s, closs=37.627, rloss=77.70278, tloss=426.141]
  8% 77/1000 [00:15<02:29,  6.17it/s, closs=37.627, rloss=77.70278, tloss=426.141]
  8% 77/1000 [00:15<02:29,  6.17it/s, closs=37.353, rloss=77.13579, tloss=423.032]
  8% 78/1000 [00:15<02:33,  6.02it/s, closs=37.353, rloss=77.13579, tloss=423.032]
  8% 78/1000 [00:15<02:33,  6.02it/s, closs=37.144, rloss=76.57067, tloss=419.997]
  8% 79/1000 [00:15<02:31,  6.06it/s, closs=37.144, rloss=76.57067, tloss=419.997]
  8% 79/1000 [00:16<02:31,  6.06it/s, closs=37.040, rloss=76.08436, tloss=417.462]
  8% 80/1000 [00:16<02:31,  6.06it/s, closs=37.040, rloss=76.08436, tloss=417.462]
  8% 80/1000 [00:16<02:31,  6.06it/s, closs=36.811, rloss=75.50409, tloss=414.332]
  8% 81/1000 [00:16<02:32,  6.02it/s, closs=36.811, rloss=75.50409, tloss=414.332]
